borrower_id,avg_monthly_income,income_volatility,cvd_residual_variance,liquidity_buffer_weeks,expense_income_ratio,round_trip_count,dormancy_score,weekly_std_ratio,festival_uplift_ratio
191776e2-52cc-4b2a-86f7-9444e0f33b2f,29952.23,0.6568,0.1596,0.68,1.6858,1,0.9766,2.7301,0.1021
19ac396a-3cea-499b-86df-3368fb954053,24866.4,0.3686,0.5034,0.08,2.6036,1,0.9757,1.3668,0.0999
19e52355-fafd-4109-b02d-d9768a8e4411,5871.73,0.4326,0.193,0.13,2.5104,0,0.9846,1.4426,0.1644
19fbb276-983d-46c0-9682-91229b7345c7,22491.11,0.6244,0.177,0.23,2.0272,0,1.27,2.9156,0.1203
1a09d374-9710-48b7-a8ad-9df51fbf8160,8947.49,0.4222,1.8868,0.17,3.0566,0,0.9816,0.8373,0.1906
1a68b2c0-0d98-42a3-9c84-aba54403e3b6,26442.17,0.4184,0.7247,0.1,2.8543,0,0.9787,1.0397,0.1042
1af36bd9-7e12-4271-a970-74ddf1bcf856,8567.26,0.4499,0.3887,0.09,3.3585,0,0.9791,1.1496,0.1355
1be16db0-2ae5-4b66-aaaf-4c2f1bff53f9,2739.83,0.4456,1.0885,0.12,3.634,0,0.9753,0.7195,0.2139
1c95b7e4-f51b-439d-841c-e2c65292568f,36241.2,0.2824,0.9385,2.03,1.5981,34,0.9865,1.0526,0.0833
1e298d4e-e15d-4df1-b078-c269cc11b254,6225.28,0.4103,0.7457,0.1,3.0472,0,0.9778,0.7322,0.1698
1ef4aa61-d805-4264-ab18-a45f2e3b1ad1,14751.63,0.6962,0.6499,0.19,2.5269,2,0.975,4.241,0.1368
1f25456d-58ad-4953-8a8a-8c25f87f7985,12779.6,0.5815,0.5092,0.05,3.144,0,0.9746,1.0611,0.1206
2026efce-c068-492a-b121-c8623027c9d9,9555.58,0.3911,0.6826,0.4,2.2166,0,0.9756,0.6486,0.1401
21c22174-1b81-4027-ae90-ce3d17fb9769,4676.88,0.4664,0.5714,0.29,3.1443,0,0.974,1.052,0.1992
2269c997-e720-466a-b522-1cc39b682ad3,20539.52,0.6652,0.1565,0.61,1.7938,1,0.9771,2.4923,0.0814
22a7adb5-3860-4aa7-a009-fba542ab1455,10471.52,0.2527,0.8314,0.23,2.1935,0,0.9781,1.3497,0.1174
231bbd23-60b5-4d8e-8d66-0d9ac0caff38,6025.41,0.5758,1.4944,0.18,2.6997,0,0.9739,1.0893,0.1427
2465a99b-f4c2-4950-97ce-456bbf96c1c0,19276.48,0.3008,0.3153,0.15,2.5683,0,0.9769,1.1782,0.1144
246ec977-f607-4026-bd90-48937a844b53,5520.18,0.262,0.4637,0.06,2.9812,0,1.8701,1.4721,0.1161
247dc36f-8397-4a9f-91a8-cff5180c0541,15555.26,0.2703,0.6647,0.11,2.9226,0,0.9842,0.9413,0.1328
2492d8f4-e2ae-47e8-8525-acf5d7be14d7,14334.85,0.5803,1.2086,0.07,3.2611,0,0.9828,1.1194,0.13
24be1d5b-cfdc-4c68-90af-64f7edd47a55,19945.55,0.4858,0.9033,0.22,2.8416,2,0.7949,1.3397,0.1277
24cc1fbc-214e-45da-857b-99885b7f6361,21165.76,0.445,0.9134,0.06,3.0326,1,0.9767,0.7414,0.1064
24e9424a-b013-4e9d-a4a6-3268af0b14d3,6765.61,0.3775,0.3203,0.15,2.7255,0,0.9779,0.9348,0.117
25069b34-3e93-4932-ba74-c75aa2e50f89,11894.84,0.3676,0.8867,0.13,3.0151,0,0.9814,1.0775,0.0995
25ac2439-808d-4388-83c1-7bdbceb07955,11995.14,0.4723,0.5321,0.1,3.4668,0,0.9786,1.308,0.1078
25d96e0d-22b2-43c7-a7a8-9867adc108c2,7763.99,0.4746,0.404,0.08,3.0326,0,1.9438,1.3842,0.0818
26532031-605a-4c77-834d-bc2c5d7cbca0,16648.03,0.4611,0.5474,0.11,2.8338,0,0.976,0.6421,0.109
26cde4ce-8a45-44f4-92d7-0ebd0422da63,9087.39,0.3116,0.4063,0.14,2.8911,0,0.9796,1.9174,0.1823
27461016-f235-4180-a1a2-573d3ca12b0f,16134.47,0.3324,0.7785,0.1,2.8189,0,0.9843,0.8548,0.1171
27e02a1a-ba7d-42b2-ad1e-5a0b5273f012,35084.27,0.253,0.6081,0.47,1.7253,37,0.986,0.9219,0.1063
295524a3-b23b-4be3-b72c-3d8d6eb14721,5236.26,0.3013,0.6808,0.14,2.7631,0,0.9789,1.0361,0.0994
2a001c4e-87cb-4a95-9bdf-91a50f50f503,5448.92,0.3511,0.2798,0.21,2.8434,0,0.9739,0.8752,0.1217
2bdce258-724f-4e19-9330-50d05d3c1608,19249.11,0.3901,0.225,0.08,3.1835,1,0.975,0.7138,0.1042
2ccd5bfd-1f7c-4376-b9c4-15755f39302c,14923.91,0.2974,0.3325,0.1,3.1335,0,0.7458,0.9642,0.1301
2d4e731e-154d-46cc-840e-689bb35cabd7,28051.52,0.2614,0.6616,0.44,1.9823,29,0.9643,1.1764,0.149
2d57d390-3fd3-4b8a-a37d-3ad9ea3f74f3,18298.69,0.4068,1.3229,0.12,3.0088,0,0.9847,0.8168,0.1487
2e0665b8-46f2-483f-98bb-761b975bc1b4,6608.19,0.4695,0.3524,0.29,2.6224,0,0.975,0.6855,0.1212
2f42f091-e8f7-40a6-bce0-fc0f35022fce,30265.93,0.7575,0.249,1.18,1.9228,0,1.2627,2.7068,0.075
301fa732-0af3-4dd3-a876-2f3604f6f46f,8285.73,0.3689,0.3354,0.25,2.5799,0,0.974,0.9436,0.1498
307d049b-1c77-4cb1-b6a6-f6abf639ed40,15914.41,0.4334,0.6532,0.18,2.8577,2,0.9727,1.5266,0.1475
30f68dff-fb8b-4eb0-b431-bc869f323993,11265.66,0.3478,0.7412,0.03,2.943,0,0.9775,1.2517,0.105
31815924-1bd2-4af8-aa6a-89e6805d1d6e,5380.43,0.399,0.1761,0.12,3.0883,0,0.9838,0.637,0.0962
3181b4ac-89d5-4d19-b633-4b7e02ce39fe,13079.95,0.5782,1.1729,0.24,2.9784,0,0.9831,0.9658,0.1625
32b492ca-460d-4b47-a7c8-8c5d940722f3,13763.09,0.4057,1.0221,0.05,2.8827,0,0.9774,0.8903,0.0985
34847692-ddff-4081-b891-6f493ab658fe,3129.2,0.4405,0.4923,0.72,2.9604,0,0.9747,0.8015,0.1974
34f35b68-3b85-4551-a8b2-652b021fba22,27131.29,0.2659,0.2043,0.14,2.7125,2,0.9767,0.9349,0.0882
354701b2-d479-4307-a936-aee3f49096d4,6436.41,0.498,1.5611,0.15,3.2635,0,0.7643,1.2214,0.1768
356b5409-7f1c-43df-afd3-579788455668,11893.82,0.3128,0.7977,0.27,2.4753,0,0.9756,1.2705,0.1642
35e37c84-4410-4059-af79-e4ff1ed35d4a,13120.66,0.4118,0.3459,0.07,3.4464,0,0.9792,0.8435,0.1544
36447d75-568f-45ea-ab85-af63eddb79a6,11945.97,0.3219,1.4474,0.09,2.9482,0,0.9766,0.82,0.0887
36f25340-4150-4462-a710-5499bd3d61c6,15016.8,0.4041,1.0408,0.12,3.1808,0,0.9831,1.3078,0.104
3750208a-8220-46ec-90d2-77d0840c63d0,16193.18,0.3332,0.325,0.06,2.5414,0,0.9748,1.241,0.1052
37997178-acbe-4c27-a0dc-f7e3e9802b35,16517.92,0.3012,0.7894,0.07,3.1228,0,0.9799,0.9064,0.0806
37ae5268-eb8a-4717-89b9-fea53e6c8194,7091.44,0.3345,0.2811,0.15,3.4902,0,0.9808,0.8154,0.1206
37daca2f-72ba-423c-953c-6d2d8ff93000,4550.35,0.4829,0.3343,0.15,3.3934,0,0.9784,1.7452,0.1286
3828b554-4fdc-411d-92e6-fe4b62a72cc0,5274.7,0.3485,1.2265,0.17,2.9231,0,0.9781,0.8763,0.1272
39d16b53-098a-472a-bbb2-e09bbcec7c3e,11931.48,0.3843,0.5635,0.08,2.7232,0,0.9792,0.9684,0.0958
3a66fe21-ceb8-4cca-931c-4b43f84dc076,12929.96,0.4883,0.4539,0.19,2.6453,0,0.98,0.9852,0.1431
3aeb9443-f55c-4732-a91d-5e61e779cc6a,8571.98,0.4871,0.3052,0.07,3.8124,0,0.9754,0.8055,0.1453
3b79aeab-43d4-4365-bd8a-cc36e94678b6,9920.17,0.4412,0.3366,0.26,2.429,0,0.98,1.1368,0.1309
3bc4d889-8a48-47d1-9a06-f66a589fff6b,17658.37,0.3072,0.6767,0.08,3.0185,0,0.9773,1.0378,0.1084
3bd934e2-f09a-4698-ad12-c5b0ca9c2720,8652.77,0.3232,1.2742,0.06,3.2656,0,0.972,0.613,0.1617
3c497537-8335-4240-a412-6b99834f5b12,19742.48,0.3176,0.6241,0.17,2.8436,0,0.9735,0.717,0.1261
3c5db0c7-8953-40e0-9ca9-70680f11cc43,13450.97,0.4219,0.2459,0.13,3.1749,0,0.9786,0.6946,0.1479
3ce4a86c-49c1-47d3-994c-2665cb0c290d,7680.33,0.2996,0.7003,0.23,2.7468,0,0.9789,0.9015,0.1047
3d681286-0142-45ef-9287-505ee211565d,12461.29,0.4161,1.2728,0.1,3.2344,0,0.9781,1.0041,0.1145
3e13eac8-8af9-4199-93f5-1c8f382d1aa6,17622.99,0.3327,0.4726,0.07,3.4534,0,0.9774,1.2859,0.1165
3e8e774c-3795-4172-8c98-f7f278279a21,22268.51,0.5793,0.5556,0.08,3.4465,1,1.6176,0.9555,0.1127
3e8edb64-b460-4cbc-b506-4b6e7b0fc6ac,13841.31,0.3164,0.4503,0.13,2.9227,0,0.9738,0.9891,0.1553
3f38f3ce-889e-4573-a49f-8acd3e0f1dbd,14264.87,0.5077,0.3891,0.05,3.3491,0,1.875,0.9844,0.1549
3f477748-fccb-4960-8c80-b3340f64fe67,9975.41,0.4884,0.5555,0.12,3.0004,0,0.976,1.0219,0.1401
3fdd95d5-0c58-498f-8e02-1fe62dd9a560,15793.28,0.5609,0.2729,0.12,2.8606,0,0.9789,0.5644,0.1339
4087c722-59a0-4f35-9913-ee7bc77c8cef,7202.26,0.4343,0.1936,0.09,3.4058,0,0.9838,0.9911,0.1454
4171036d-221b-403e-99b8-28ff9b285557,5957.52,0.3031,1.1603,0.14,3.5921,0,0.9765,0.9932,0.2025
41b25b68-3217-4fa8-af47-6fb24ceb4e1b,17557.68,0.3737,0.9686,0.08,2.9272,1,0.982,1.392,0.146
42207de2-d03f-4681-adf2-584054c91c98,3657.26,0.5771,0.5485,0.09,3.7849,0,0.9721,0.9254,0.1721
4280e04b-4017-498e-88c4-3162a1b07e08,11195.63,0.3491,1.0597,0.13,2.7526,0,0.9746,1.0476,0.1056
42f4566f-3568-4738-b7ac-ce61e343199d,3478.0,0.4163,0.0506,0.19,2.7916,0,0.9698,0.8092,0.1323
43977e41-d26a-499a-ad2f-58a07bc74656,15320.94,0.5676,0.9004,0.34,2.2012,0,0.9803,0.8921,0.1597
439e0655-189d-44c8-b8d1-46720d7d1d51,21608.27,0.953,0.5057,1.6,1.4719,0,1.2705,4.4576,0.0968
43aea4eb-5586-4098-9040-2dead82179f5,20888.04,0.3989,1.2297,0.04,3.7916,1,0.9755,0.9117,0.1178
43c79961-4997-41a9-ba33-9f26d1fdafb9,15149.47,0.395,0.062,0.13,3.0055,0,0.9798,0.8533,0.1378
43e8cefc-5a20-4c0c-807d-e3a33934e05b,23591.6,0.5839,0.1331,0.23,2.6547,0,1.2719,2.3834,0.0968
44a19193-0f70-45d1-a258-e9d8754a99f4,8244.82,0.6345,1.4732,0.1,3.4939,0,0.9847,0.8563,0.1654
45dc7238-0085-4533-9ac8-ffe36881ee3e,4398.76,0.3966,0.7068,0.2,3.2699,0,0.972,1.1675,0.1714
463ba8e8-9c97-42f0-88d5-b770c99ada25,14267.77,0.3405,0.2038,0.17,2.8755,0,0.9767,1.1529,0.153
46f5ca45-54fb-48b4-aa92-923c70720b70,20549.02,0.2328,1.1249,13.57,1.3337,25,0.9712,0.9612,0.1332
47b4ae0f-beab-4bf0-ab59-0172d25b3980,19919.85,0.3703,0.6885,0.13,3.2725,0,0.9771,1.0896,0.1023
48083325-3f88-450f-a9e6-d6c7722295cb,6664.71,0.6541,0.049,0.77,1.9392,0,0.9798,2.5953,0.1438
48f6dc6f-1082-4f6a-8fd4-2b4992eeae75,26228.86,0.3656,0.0676,0.12,2.6345,2,0.9752,1.0786,0.098
4a069f51-a52e-488c-acec-c9989bd77632,8494.5,0.5451,0.6355,0.15,3.0178,0,0.5911,0.9387,0.159
4a672904-d9bc-40b0-b7dd-55dede4eb41d,14761.3,0.4913,0.5837,0.16,2.6864,0,0.6167,1.0353,0.1632
4a9c141f-1426-4f99-bf40-63de7a6ae073,11038.61,0.4416,0.4334,0.33,2.3128,0,0.9781,2.2886,0.1346
4aa034ef-00fd-41e9-8757-a8b56d93420f,33580.83,0.7904,0.1431,0.94,1.9497,0,1.2681,3.4979,0.0645
4b25ce36-53ee-4fa2-a448-bdebcf054eb8,15516.85,0.321,0.1342,0.11,2.9803,1,0.9846,0.8188,0.1719
4c39bf35-740a-46ed-8a2d-15111653be4b,5897.89,0.3359,0.2049,0.06,3.0721,0,0.9775,1.3506,0.0828
4c6e02d1-6b86-4be2-8c2d-332c6e2e7f8d,32224.12,0.7345,0.7372,1.78,1.4465,2,0.9757,4.4385,0.0823
4c739fcb-5e7f-4545-a88e-8b4a3a60ff8b,16456.49,0.4342,0.7443,0.18,2.8375,0,0.9788,1.2635,0.1082
4ca6ad75-7d16-411f-b539-59a9fa220d5c,6848.05,0.3394,1.0841,0.17,3.1749,0,0.9849,1.162,0.1307
4d03a2f9-17ec-45f6-af85-d2a1ad94aac3,13579.29,0.4564,0.4953,0.1,3.1705,0,0.9831,1.318,0.1152
4d22eb00-5c38-48ce-8b2c-c8ddb281f5b4,11153.74,0.3649,0.3837,0.04,2.8098,0,0.9843,1.0449,0.1038
4dc83ebf-e5ce-4dad-8cc5-0a6c13feb238,27830.9,0.4167,1.3685,0.11,2.6111,0,0.9757,0.5399,0.1006
4df3b2e0-2618-41b0-965c-d0701df28267,6232.55,0.4788,0.1964,0.09,2.5533,0,0.972,1.5276,0.1724
4e024b07-7f20-4da3-86e8-caf808df2ca2,23446.19,0.3278,0.4108,0.08,3.1311,3,0.9816,1.0026,0.1085
4e29f7f2-d1f2-45e9-b73d-20e0062dc2bb,5571.37,0.4224,0.8064,0.21,3.1565,0,0.9806,0.4977,0.1611
4e58a86e-6d9e-4cf1-b494-aa522ba7bd1f,34572.34,0.216,0.4298,3.43,1.4941,33,0.9739,1.2452,0.1045
4ef5dc68-d992-45a3-8298-16cc3a11ab5a,21841.11,0.406,0.7405,0.18,2.6933,0,0.9758,1.0862,0.1194
4f01f28c-774b-4bf0-9492-fa70480e4a00,10210.91,0.5768,0.7952,0.22,3.1932,0,0.9733,0.9793,0.1712
50da7fd8-b518-4877-8f82-d12d8cf01ae5,11227.72,0.3812,0.6012,0.04,3.2167,0,0.9811,1.2521,0.1459
514878d4-c30a-4a74-9225-413038c32361,17258.0,0.3354,1.0035,0.1,2.9525,0,0.981,0.5847,0.1017
522ee6e0-8fa4-445a-9745-929d6b0643bb,3491.16,0.4584,0.5717,0.08,3.2253,0,0.9756,0.9742,0.1508
5254394e-362d-4d99-873f-28b9c21e78d5,9250.39,0.3244,0.4606,0.03,3.728,0,0.9801,1.2543,0.097
529423de-3e41-4e33-be50-469def0508b2,9811.32,0.4532,0.966,0.09,3.2416,0,0.9809,0.6834,0.1265
52964467-b328-428a-a209-59cbb0366833,5341.36,0.3473,0.7683,0.13,3.4359,0,0.9735,1.0717,0.1067
52c9163b-60e7-490c-9d35-58d0be954e8b,10595.92,0.4962,0.7517,0.41,2.7466,0,0.971,1.3745,0.1536
52eb43d4-6c44-4a87-951a-d04a8c5aaa27,16073.69,0.5559,1.3953,0.09,2.733,0,0.9801,0.8399,0.1549
5300a8e8-dbd3-419a-bb90-ae2ac166d61e,16908.13,0.3873,0.182,0.04,2.8723,1,0.9841,0.8177,0.1221
53198c23-7896-47bc-a791-8ba816c45c4e,5573.64,0.5375,0.239,0.17,2.8488,0,0.9834,0.7629,0.1442
53407fa2-86a9-4455-b4b8-c597f24ed601,13902.33,0.4647,1.0336,0.1,2.8842,0,0.9772,0.94,0.098
53835af8-8961-4819-898d-445f326c63a6,11063.31,0.3849,0.9173,0.14,2.511,0,0.7682,0.9632,0.0926
54e6a195-e647-4a45-a3aa-8310bd021776,27253.69,0.8058,0.4428,2.74,1.4638,0,1.273,3.4427,0.071
551ea4bc-ee85-49b2-a7bf-e7fc1d47f9fc,16644.15,1.3114,0.7214,5.93,1.1205,0,1.2669,6.6373,0.061
571db021-ae3c-4e09-b252-c07a3ca0880c,8502.98,0.3331,0.6005,0.22,2.5183,0,0.9739,1.7161,0.1638
5791d500-2d7c-4d23-94f1-cda7a973cfc1,17299.08,0.4118,0.902,0.08,3.2214,3,0.9844,0.9458,0.1548
57a2af2d-a4a2-4851-928e-428a492912bf,8424.35,0.5351,0.2645,0.09,3.1719,0,0.9789,0.9233,0.1352
57c8841c-8efb-4a27-92dd-f8486f8c02f0,21379.27,0.7085,0.4357,0.01,3.2375,0,1.7775,2.5024,0.0701
59498fb6-6ef0-471d-9f87-10b7f4c8a7e9,13805.87,0.348,0.4452,0.12,2.2881,0,1.7225,1.5979,0.1401
59529ac9-e799-4c01-a6c2-49e00b9b2247,14996.67,0.3701,0.1365,0.11,2.8424,0,0.9812,0.77,0.12
59665679-1a90-4a0f-a0aa-713e00a6873f,20887.61,0.4814,0.6636,0.05,2.7869,0,0.9797,0.4002,0.0855
59ac2640-e099-4b67-b783-975c739505cb,12383.58,0.4445,0.2432,0.14,3.4758,0,0.9739,0.9167,0.135
59add8bb-2423-400b-8ed8-23bfdce9af6c,39577.19,0.1976,0.2608,0.36,1.9479,39,0.9796,0.7875,0.1042
5a39d9f5-d4fd-464f-812e-01c9e7586eec,13863.36,0.3542,0.9451,0.17,2.8105,0,0.9787,0.7905,0.0985
5a414089-e6f6-4c3f-910c-b9059bba364c,7978.77,0.569,0.5441,0.16,3.1008,0,1.7812,1.8705,0.0844
5bd0095b-e105-43db-8686-2f55251d0079,18117.18,0.4559,0.6754,0.28,2.2812,0,0.9794,0.6403,0.1334
5c88723f-ba64-4e2d-93e8-e9f14b6ad85f,14815.25,0.5071,0.944,0.04,2.8892,0,0.9826,1.2693,0.098
5ca18726-1e4d-49b9-a3b0-4f750cf054e2,18711.31,0.2056,0.9473,0.12,2.9214,0,0.9795,1.2518,0.0938
5e0deeb3-64a5-4769-a156-9fc14a505be9,4520.34,0.5016,0.3461,0.13,3.2927,0,0.9767,0.9524,0.1489
5e5d36a7-ceee-4c80-b2bf-82fd55730b20,18900.45,0.3884,0.3939,0.13,3.0599,1,0.9839,0.9626,0.1246
5e69e1d9-f7b8-4ca5-b1da-df6532aeedab,21179.18,0.4,0.3495,0.17,2.7049,0,0.9822,0.8138,0.0828
5f27f673-1655-416d-a959-3ccc2bfa961d,18621.1,0.3205,0.3358,0.15,2.4671,0,0.975,0.9532,0.141
5f5bd076-1fff-407e-885b-0c3cfb84a812,8110.46,0.3497,1.0815,0.18,2.3989,0,0.9746,0.7289,0.0961
5fe7dc04-6bee-4276-b4cc-867be0df1046,7739.6,0.5072,0.2838,0.19,3.7013,0,0.9849,1.5291,0.2335
5fe9b218-d235-4077-ba95-09f6efea4a95,34114.18,0.1766,0.1166,15.85,1.2497,41,0.9823,1.0132,0.0928
602e53c7-9ebb-48f2-850e-040a588fadb8,16031.9,0.372,0.8741,0.25,2.2062,0,0.9727,0.7145,0.146
60597214-5cd7-4492-93c7-9e46593dad0a,10953.53,0.3534,0.8524,0.14,3.1914,0,0.9773,0.9956,0.1094
60a2151a-9d5a-44f5-8faf-f3fd4c3f374a,19762.47,0.3626,0.4077,0.04,2.9234,0,0.9777,1.0664,0.094
60e39797-5a7a-4f09-bc42-b5000ba6a932,13918.54,0.4957,0.5884,0.18,2.9225,0,0.9733,1.0421,0.1443
612cceb2-259d-4a76-9b48-926a844ec36e,6896.04,0.3843,0.801,0.1,3.057,0,0.9803,1.0653,0.1714
6199fe39-4e44-4290-8b6b-42e6c9a759af,17764.91,0.4824,0.5827,0.12,2.7161,0,0.9765,1.0211,0.1069
61a7955a-ba98-446c-8fa7-045e18a6bfa7,10072.64,0.4455,0.1004,0.19,3.0172,0,0.9743,0.6259,0.1202
625a94e5-89fa-4799-8ff6-704074714546,20918.46,0.3628,0.1865,0.17,2.5725,0,0.9775,1.1719,0.0788
6261f280-f9d5-4690-a7de-06bbd88add27,10002.67,0.6226,0.9995,0.22,2.5684,0,0.9706,0.7532,0.2107
62695890-e07d-4a4f-ab6a-f667d8fd96ad,15839.56,0.4515,0.4649,0.08,3.0532,0,0.9759,0.7429,0.1391
632522cf-b0d0-46b6-a6e8-81c326045153,7421.58,0.3232,0.6079,0.12,2.7413,0,0.9781,1.4361,0.1173
632828be-1f70-4ef7-88c6-45587bf98143,16329.69,0.3884,0.8099,0.08,3.3149,0,0.9818,1.3166,0.1401
63a9b0da-7716-4dd7-804c-9e5fd0502e32,17455.14,0.4553,0.7936,0.09,2.9195,1,0.9789,0.8769,0.1006
64c1f621-9f94-4fe3-9d7a-60cafe9b50ba,6079.31,0.408,0.7766,0.08,3.193,0,0.9795,0.9736,0.0984
654e53d5-a1c9-4859-ba45-3cd3f83bcfa3,8915.33,0.3507,0.3936,0.14,2.92,0,0.9835,1.1871,0.0901
659c51d9-b257-4b8e-b7b4-427f59ace8e5,9682.65,0.3421,0.6219,0.07,2.9657,0,0.9838,1.2725,0.1419
65a66e1a-e79f-4e38-b38c-867e11bf84b4,27513.5,0.2332,0.3317,7.12,1.4667,35,0.9849,0.971,0.1162
65a76269-1a75-48a8-940a-fde2df069d40,10673.6,0.4289,0.193,0.07,2.9738,0,0.975,1.0784,0.1143
65db8691-2dc0-4ff2-ae5a-cc38cfd80821,14892.6,0.4285,0.4398,0.09,2.6043,0,0.9811,0.4091,0.1134
